(trace_id,session_id,all_successful_execs,num_successful_execs_in_slice,slice_size)
(31, 13, 59, 10, 10)
(36, 121, 5, 3, 3)
(156, 38, 39, 7, 7)
(191, 192, 201, 50, 50)
(198, 50, 34, 3, 3)
(231, 678, 119, 10, 10)
(231, 807, 283, 8, 8)
(231, 1145, 438, 4, 4)
(231, 1587, 245, 8, 8)
(256, 678, 119, 10, 10)
(256, 807, 283, 8, 8)
(256, 1119, 24, 6, 6)
(256, 1145, 438, 4, 4)
(256, 1587, 245, 8, 8)
(284, 18, 24, 3, 3)
(284, 19, 19, 7, 7)
(284, 20, 29, 5, 5)
(284, 21, 39, 1, 1)
(295, 96, 97, 3, 3)
(295, 99, 55, 1, 1)
(311, 37, 77, 5, 5)
(344, 235, 43, 2, 2)
(351, 49, 97, 5, 5)
(809, 57, 150, 5, 5)
(191, 192, 201, 37, 37)
(9, 16, 59, 2, 2)
(9, 16, 59, 2, 2)
(9, 18, 104, 4, 4)
(9, 62, 62, 15, 15)
(9, 75, 93, 4, 4)
(9, 81, 69, 6, 6)
(9, 85, 86, 3, 3)
(9, 112, 77, 9, 9)
(9, 138, 98, 4, 4)
(9, 178, 107, 6, 6)
(9, 193, 82, 3, 3)
(9, 195, 58, 4, 4)
(9, 196, 61, 6, 6)
(9, 331, 75, 4, 4)
(9, 332, 70, 5, 5)
(9, 393, 173, 4, 4)
(9, 455, 50, 8, 8)
(9, 507, 67, 19, 19)
(11, 861, 225, 3, 3)
(23, 19, 67, 2, 2)
(26, 179, 258, 1, 1)
(26, 305, 75, 3, 3)
(31, 7, 78, 1, 1)
(32, 1, 84, 3, 3)
(36, 2, 63, 6, 6)
(36, 7, 76, 4, 4)
(36, 13, 73, 2, 2)
(36, 15, 74, 3, 3)
(36, 16, 72, 5, 5)
(36, 20, 50, 3, 3)
(36, 89, 59, 7, 7)
(36, 122, 65, 3, 3)
(36, 126, 50, 11, 11)
(73, 25, 58, 4, 4)
(80, 35, 1, 1, 1)
(88, 153, 76, 1, 1)
(114, 36, 153, 2, 2)
(121, 25, 58, 4, 4)
(135, 20, 161, 2, 2)
(135, 57, 25, 3, 3)
(135, 217, 143, 5, 5)
(135, 240, 56, 7, 7)
(135, 330, 56, 15, 15)
(135, 331, 81, 2, 2)
(135, 334, 63, 4, 4)
(135, 349, 299, 6, 6)
(135, 409, 56, 2, 2)
(135, 434, 48, 4, 4)
(135, 445, 39, 8, 8)
(135, 522, 53, 5, 5)
(135, 536, 233, 3, 3)
(135, 566, 101, 6, 6)
(135, 588, 38, 7, 7)
(135, 681, 250, 35, 35)
(135, 708, 64, 5, 5)
(135, 710, 53, 5, 5)
(135, 711, 35, 5, 5)
(135, 739, 50, 7, 7)
(135, 755, 141, 8, 8)
(135, 763, 323, 3, 3)
(135, 764, 586, 6, 6)
(135, 769, 25, 3, 3)
(135, 771, 84, 4, 4)
(135, 774, 57, 2, 2)
(135, 816, 82, 3, 3)
(135, 818, 111, 3, 3)
(135, 831, 58, 2, 2)
