(trace_id,session_id,num_lines_in_slice)
(9, 16, 1)
(9, 75, 1)
(9, 81, 17)
(9, 85, 9)
(9, 138, 1)
(9, 178, 2)
(9, 193, 6)
(9, 195, 1)
(9, 196, 1)
(9, 332, 1)
(9, 455, 2)
(9, 507, 1)
(11, 861, 18)
(26, 179, 1)
(26, 305, 1)
(31, 13, 23)
(32, 1, 14)
(36, 7, 1)
(36, 13, 8)
(36, 122, 43)
(73, 25, 1)
(80, 35, 1)
(88, 153, 1)
(114, 36, 95)
(121, 25, 19)
(135, 57, 1)
(135, 330, 5)
(135, 331, 8)
(135, 334, 2)
(135, 349, 1)
(135, 445, 9)
(135, 708, 4)
(135, 710, 7)
(135, 711, 8)
(135, 774, 1)
(135, 816, 46)
(135, 831, 14)
(156, 49, 5)
(165, 153, 8)
(182, 25, 3)
(183, 952, 1)
(183, 1696, 4)
(191, 118, 1)
(191, 220, 1)
(191, 226, 1)
(195, 5, 4)
(198, 1061, 35)
(198, 1122, 2)
(204, 5, 1)
(215, 4, 4)
(215, 25, 1)
(217, 25, 10)
(217, 50, 1)
(217, 95, 2)
(217, 141, 18)
(217, 142, 25)
(217, 147, 21)
(217, 151, 8)
(217, 170, 1)
(217, 171, 2)
(217, 184, 18)
(217, 185, 1)
(217, 186, 38)
(217, 189, 1)
(217, 195, 1)
(217, 196, 9)
(217, 197, 19)
(217, 199, 1)
(217, 204, 12)
(218, 155, 46)
(218, 269, 11)
(218, 270, 2)
(219, 25, 5)
(230, 47, 4)
(231, 14, 1)
(231, 1587, 4)
(240, 4, 10)
(240, 25, 1)
(242, 25, 19)
(242, 50, 1)
(242, 95, 5)
(242, 103, 4)
(242, 141, 29)
(242, 142, 12)
(242, 147, 13)
(242, 151, 11)
(242, 170, 13)
(242, 171, 1)
(242, 184, 42)
(242, 185, 1)
(242, 186, 3)
(242, 189, 1)
(242, 195, 2)
(242, 196, 2)
(242, 197, 1)
(242, 199, 58)
(242, 204, 35)
(243, 155, 81)
(243, 269, 2)
(243, 270, 2)
(244, 25, 1)
(255, 47, 2)
(256, 14, 1)
(256, 1587, 1)
(286, 46, 1)
(288, 57, 1)
(288, 794, 32)
(295, 5, 6)
(295, 69, 3)
(295, 96, 1)
(295, 99, 5)
(298, 25, 1)
(301, 31, 1)
(301, 32, 14)
(307, 17, 1)
(307, 27, 2)
(308, 24, 1)
(308, 27, 11)
(308, 29, 1)
(308, 64, 1)
(311, 2, 1)
(311, 11, 1)
(311, 33, 1)
(311, 37, 2)
(316, 215, 1)
(316, 1103, 7)
(317, 212, 1)
(317, 228, 3)
(318, 25, 19)
(327, 92, 1)
(339, 16, 25)
(339, 95, 25)
(344, 191, 6)
(344, 340, 32)
(344, 454, 1)
(344, 542, 16)
(344, 618, 55)
