(trace_id,session_id,all_successful_execs,num_successful_execs_in_slice,slice_size)
(31, 13, 59, 10, 10)
(36, 121, 5, 3, 3)
(156, 38, 39, 7, 7)
(191, 192, 201, 50, 50)
(198, 50, 34, 3, 3)
(231, 678, 119, 10, 10)
(231, 807, 283, 8, 8)
(231, 1145, 438, 4, 4)
(231, 1587, 245, 8, 8)
(256, 678, 119, 10, 10)
(256, 807, 283, 8, 8)
(256, 1119, 24, 6, 6)
(256, 1145, 438, 4, 4)
(256, 1587, 245, 8, 8)
(284, 18, 24, 3, 3)
(284, 19, 19, 7, 7)
(284, 20, 29, 5, 5)
(284, 21, 39, 1, 1)
(295, 96, 97, 3, 3)
(295, 99, 55, 1, 1)
(311, 37, 77, 5, 5)
(344, 235, 43, 2, 2)
(351, 49, 97, 5, 5)
(809, 57, 150, 5, 5)
(191, 192, 201, 37, 37)
